2025-11-14 03:43:04,780 INFO    MainThread:8148 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_setup.py:_flush():80] Configure stats pid to 8148
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_setup.py:_flush():80] Loading settings from C:\Users\mohab\.config\wandb\settings
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_setup.py:_flush():80] Loading settings from c:\Users\mohab\Desktop\M\wandb\settings
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_init.py:setup_run_log_directory():713] Logging user logs to c:\Users\mohab\Desktop\M\wandb\run-20251114_034304-i0tch61v\logs\debug.log
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to c:\Users\mohab\Desktop\M\wandb\run-20251114_034304-i0tch61v\logs\debug-internal.log
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_init.py:init():840] calling init triggers
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'gamma': 0.99, 'epsilon_start': 1, 'epsilon_end': 0.01, 'epsilon_decay': 2000, 'learning_rate': 0.0007, 'memory_size': 10000, 'batch_size': 64, 'target_update_freq': 10, 'tau': 0.005, 'env_id': 'CartPole-v1', 'agent': 'DDQNAgent', '_wandb': {}}
2025-11-14 03:43:04,781 INFO    MainThread:8148 [wandb_init.py:init():888] starting backend
2025-11-14 03:43:07,135 INFO    MainThread:8148 [wandb_init.py:init():891] sending inform_init request
2025-11-14 03:43:07,169 INFO    MainThread:8148 [wandb_init.py:init():899] backend started and connected
2025-11-14 03:43:07,194 INFO    MainThread:8148 [wandb_init.py:init():969] updated telemetry
2025-11-14 03:43:07,196 INFO    MainThread:8148 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-14 03:43:07,911 INFO    MainThread:8148 [wandb_init.py:init():1040] starting run threads in backend
2025-11-14 03:43:08,052 INFO    MainThread:8148 [wandb_run.py:_console_start():2504] atexit reg
2025-11-14 03:43:08,052 INFO    MainThread:8148 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-14 03:43:08,052 INFO    MainThread:8148 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-14 03:43:08,052 INFO    MainThread:8148 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-14 03:43:08,056 INFO    MainThread:8148 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-14 03:48:14,632 INFO    MainThread:8148 [wandb_run.py:_finish():2270] finishing run mohabhelp-cairo-university/cmps458_assignment2/i0tch61v
2025-11-14 03:48:14,633 INFO    MainThread:8148 [wandb_run.py:_atexit_cleanup():2469] got exitcode: 0
2025-11-14 03:48:14,633 INFO    MainThread:8148 [wandb_run.py:_restore():2451] restore
2025-11-14 03:48:14,633 INFO    MainThread:8148 [wandb_run.py:_restore():2457] restore done
